"sigma_yy","strain:0","strain:1","strain:2","Points:0","Points:1","Points:2"
4.3467e-05,0.033992,0.00079916,-8.2236e-08,60.79,50,0
4.3315e-05,0.033972,0.00080166,-8.2143e-08,60.845,50,0
4.3162e-05,0.033953,0.00080417,-8.2049e-08,60.9,50,0
4.3009e-05,0.033933,0.00080668,-8.1956e-08,60.955,50,0
4.2857e-05,0.033914,0.00080918,-8.1862e-08,61.01,50,0
4.2704e-05,0.033894,0.00081169,-8.1769e-08,61.065,50,0
4.2552e-05,0.033875,0.0008142,-8.1675e-08,61.12,50,0
4.2399e-05,0.033855,0.0008167,-8.1582e-08,61.175,50,0
4.2246e-05,0.033835,0.00081921,-8.1488e-08,61.23,50,0
4.2094e-05,0.033816,0.00082172,-8.1395e-08,61.285,50,0
4.1941e-05,0.033796,0.00082423,-8.1301e-08,61.34,50,0
4.1789e-05,0.033777,0.00082673,-8.1208e-08,61.395,50,0
4.1636e-05,0.033757,0.00082924,-8.1115e-08,61.45,50,0
4.1484e-05,0.033737,0.00083175,-8.1021e-08,61.505,50,0
4.1331e-05,0.033718,0.00083425,-8.0928e-08,61.56,50,0
4.1178e-05,0.033698,0.00083676,-8.0834e-08,61.615,50,0
4.1026e-05,0.033679,0.00083927,-8.0741e-08,61.67,50,0
4.0873e-05,0.033659,0.00084177,-8.0647e-08,61.725,50,0
4.0721e-05,0.03364,0.00084428,-8.0554e-08,61.78,50,0
4.0568e-05,0.03362,0.00084679,-8.046e-08,61.835,50,0
4.0416e-05,0.0336,0.0008493,-8.0367e-08,61.89,50,0
4.0263e-05,0.033581,0.0008518,-8.0273e-08,61.945,50,0
4.011e-05,0.033561,0.00085431,-8.018e-08,62,50,0
3.9985e-05,0.033544,0.00085756,-8.0038e-08,62.055,50,0
3.986e-05,0.033526,0.0008608,-7.9896e-08,62.11,50,0
3.9735e-05,0.033508,0.00086405,-7.9755e-08,62.165,50,0
3.961e-05,0.033491,0.00086729,-7.9613e-08,62.22,50,0
3.9485e-05,0.033473,0.00087054,-7.9471e-08,62.275,50,0
3.936e-05,0.033455,0.00087379,-7.9329e-08,62.33,50,0
3.9235e-05,0.033438,0.00087703,-7.9188e-08,62.385,50,0
3.911e-05,0.03342,0.00088028,-7.9046e-08,62.44,50,0
3.8985e-05,0.033402,0.00088353,-7.8904e-08,62.495,50,0
3.886e-05,0.033385,0.00088677,-7.8762e-08,62.55,50,0
3.8735e-05,0.033367,0.00089002,-7.8621e-08,62.605,50,0
3.861e-05,0.03335,0.00089326,-7.8479e-08,62.66,50,0
3.8485e-05,0.033332,0.00089651,-7.8337e-08,62.715,50,0
